seed,dimension,epsilon,direct,balanced,coverage,error
213,4,0.071,0.043032736979,0.043032736979,0.043032736979,1.17961196366e-16
214,5,0.217,0.0651380076327,0.0651380076327,0.0651380076327,2.49800180541e-16
215,6,0.413,0.0401147330933,0.0401147330933,0.0619814607599,1.38777878078e-17
216,3,0.071,0.119195720833,0.119195720833,0.119195720833,2.77555756156e-17
217,4,0.217,0.0737083744485,0.0737083744485,0.0737083744485,0
218,5,0.413,0.0373923071535,0.0373923071535,0.0686830384888,0
219,6,0.071,0.025177798722,0.025177798722,0.025177798722,1.73472347598e-17
220,3,0.217,0.126817030385,0.126817030385,0.134811838111,0
221,4,0.413,0.10937168865,0.10937168865,0.10937168865,9.71445146547e-17
222,5,0.071,0.0287761045971,0.0287761045971,0.0287761045971,7.97972798949e-17
223,6,0.217,0.0379424132327,0.0379424132327,0.0379424132327,8.32667268469e-17
224,3,0.413,0.115841713583,0.115841713583,0.115841713583,4.16333634234e-17
225,4,0.071,0.0676949660584,0.0676949660584,0.0676949660584,8.32667268469e-17
226,5,0.217,0.0186830350675,0.0186830350675,0.0186830350675,1.83880688454e-16
227,6,0.413,0.0285512239667,0.0285512239667,0.0285512239667,1.00613961607e-16
228,3,0.071,0.053754461895,0.053754461895,0.053754461895,2.77555756156e-17
229,4,0.217,0.0391294963309,0.0391294963309,0.0391294963309,1.11022302463e-16
230,5,0.413,0.0534107109124,0.0534107109124,0.0844349921135,3.46944695195e-17
231,6,0.071,0.0319428460047,0.0319428460047,0.0482848762965,6.24500451352e-17
232,3,0.217,0.0794401895908,0.0794401895908,0.0794401895908,1.38777878078e-17
233,4,0.413,0.0992098924444,0.0992098924444,0.147957559132,4.16333634234e-17
234,5,0.071,0.0317352035364,0.0317352035364,0.0317352035364,3.46944695195e-17
235,6,0.217,0.0494762759302,0.0494762759302,0.0494762759302,4.16333634234e-17
236,3,0.413,0.157976177005,0.157976177005,0.157976177005,2.77555756156e-16
237,4,0.071,0.0884163674112,0.0884163674112,0.0884163674112,2.77555756156e-17
238,5,0.217,0.00701478421335,0.00701478421335,0.00701478421335,1.10154940725e-16
239,6,0.413,0.05326980346,0.05326980346,0.0993996630419,5.55111512313e-17
240,3,0.071,0.0327697517644,0.0327697517644,0.0327697517644,1.11022302463e-16
